id,name,category,panel,start,end,depends,owner,reviewer,status,priority,milestone,critical_override,deliverable,done_criteria,blocker,next_action,updated,impact,risk
M010,キックオフと役割確定,企画,ALL,2026-06-12,2026-06-12,,writer_MM,chief_TM,未着手,高,yes,no,,メンバーの確定、全員の役割と連絡経路が確定,TBEXでの受注（企画問い合わせ）,初回MTGを設定,2026-06-02,全工程の開始が遅れる,事業部側の追加参加者が未確定
T002,パネル1-11_構成案作成,企画,ALL,2026-04-20,2026-05-15,,chief_TM,全員,完了,高,no,no,構成案PPT,10枚前後のタイトルと主メッセージが揃う,,構成案のたたきを作る,2026-04-23,後続の文章とデザインが止まる,意思決定者の稼働不足
T003,パネル1-5_文章ドラフト作成,文章,P01|P02|P03|P04|P05,2026-06-15,2026-06-30,T002,BU,chief_ST,未着手,中,no,no,掲載文ドラフト,各パネルの見出しと本文が仮置きされる,専門用語の粒度が未確定,事業部に用語確認を依頼,2026-06-02,初稿デザインが薄くなる,認識ずれ
T004,パネル1-5_画像素材収集,素材,P01|P02|P03|P04|P05,2026-06-15,2026-06-30,T002,BU,chief_ST,未着手,中,no,no,素材一覧,掲載候補画像（と権利確認）が揃う,画像の所在が不明な領域あり,不足素材の候補を洗い出す,2026-06-02,デザイン初稿と入稿品質に影響,素材不足
T005,パネル1-5_デザイン初稿,デザイン,P01|P02|P03|P04|P05,2026-07-02,2026-07-17,M005,D&C,designer_OH,未着手,中,no,no,Illustrator初稿,5枚分のレイアウトと掲載文が入る,,テンプレートを先行作成,2026-06-02,レビュー期間を圧迫,素材待ち
T006,パネル1-5_原稿初稿,原稿,P01|P02|P03|P04|P05,2026-07-02,2026-07-17,M005,TBEX,writer_MM,未着手,中,no,no,説明原稿前半,説明員が読める流れになっている,,パネル構成に沿って章立て,2026-06-02,説明品質に影響,パネル文との不整合
M002,パネル1-5_1stレビュー,レビュー,P01|P02|P03|P04|P05,2026-07-20,2026-07-20,T005|T006,全員,chief_TM,未着手,高,yes,no,レビュー結果,前半5枚と原稿の主要指摘が出揃う,,レビュー枠を仮押さえ,2026-06-02,後半制作への学びが遅れる,レビュー遅延
T008,パネル6-11_デザイン初稿,デザイン,P06|P07|P08|P09|P10,2026-07-29,2026-08-13,M006,D&C,designer_OH,未着手,高,no,no,Illustrator初稿後半,5枚分のレイアウトと掲載文が入る,,前半テンプレートを流用,2026-06-02,全体レビューが遅れる,素材待ち
T009,パネル6-11_原稿初稿,原稿,P06|P07|P08|P09|P10|P11,2026-07-29,2026-08-13,M006,TBEX,writer_MM,未着手,中,no,no,説明原稿後半,後半5枚の説明原稿が揃う,,説明時間を仮設定,2026-06-02,説明品質に影響,原稿とパネルの差分
M003,全パネル初稿完了,マイルストーン,ALL,2026-08-14,2026-08-14,T005|T006|T008|T009,全員,chief_TM,未着手,高,yes,no,初稿一式,全パネルと説明原稿の初稿が揃う,,全体レビューを設定,2026-06-02,最終修正期間が削れる,初稿品質不足
M007,パネル6-11_1stレビュー,レビュー,ALL,2026-08-14,2026-08-14,M003,全員,chief_TM,未着手,高,yes,no,指摘一覧,パネルと原稿の指摘が優先度付きで整理される,,レビュー観点を配布,2026-06-02,修正工程が混乱,指摘の重複
T011,パネル1-5_2ndレビュー反映（パネル）,デザイン,P01|P02|P03|P04|P05,2026-08-27,2026-09-04,M007,D&C,designer_OH,未着手,高,no,no,修正版AIデータ,重要指摘が反映され再確認できる,,修正担当の分担を決める,2026-06-02,承認と入稿に影響,修正量過多
M004,最終承認,マイルストーン,ALL,2026-09-28,2026-09-28,T011,chief_TM,BU,未着手,高,yes,no,承認済み一式,パネルと原稿が承認済になる,,承認会議を確保,2026-06-02,入稿準備が始められない,意思決定遅れ
T012,入稿データ作成,デザイン,ALL,2026-09-28,2026-10-02,M004,D&C,designer_OH,未着手,高,no,no,入稿データ,印刷仕様に合うデータができる,,印刷仕様を確認,2026-06-02,入稿期限に直撃,印刷仕様差戻し
T013,最終校正と入稿,デザイン,ALL,2026-10-05,2026-10-09,T012,D&C,全員,未着手,高,no,no,入稿完了,9月末までに印刷入稿が完了する,,校正チェックリストを作成,2026-06-02,最終納期遅延,校正漏れ
T014,1階用パネル印刷,入稿,1階用5枚,2026-06-04,2026-06-09,,designer_UM,designer_OH,作業中,高,no,no,印刷物5枚,印刷し、設置高さの検討を行った上で梱包。設置日に持参,,,2026-06-02,設置の遅れ,
M005,パネル1-5_構成案Fix,企画,P01|P02|P03|P04|P05,2026-07-01,2026-07-01,T003|T004,BU,chief_ST,未着手,高,yes,no,構成案PPT,前半5枚の大まかな内容、掲載する図またはそのイメージ、掲載する文章の叩きが出揃う,,全員での構成案確認会セット,2026-06-02,全パネル制作の開始遅延、原稿作成の開始遅延,事業部メンバー確定の遅れ、構成案作成作業の遅れ
M009,事業部側メンバー確定,企画,ALL,2026-06-10,2026-06-10,,chief_TM,chief_TM,作業中,中,yes,no,,PPT等で叩き台を作る人員の確保・確定,,,2026-06-02,,
T018,パネル1-5_1stレビュー反映（パネル）,デザイン,P01|P02|P03|P04|P05,2026-07-20,2026-07-29,M002,D&C,designer_OH,未着手,中,no,no,修正版イラストレーター,レビューの結果を受け修正されている,,,2026-06-02,,
T019,パネル1-5_1stレビュー反映（原稿）,原稿,P01|P02|P03|P04|P05,2026-07-20,2026-07-29,M002,TBEX,writer_MM,未着手,中,no,no,前半5枚分原稿が載ったPPT,,,,2026-06-02,,
T020,パネル6-11_文章ドラフト作成,文章,P06|P07|P08|P09|P10|P11,2026-07-02,2026-07-29,T002,BU,chief_ST,未着手,中,no,no,,後半パネルの見出しと本文が仮置きされる,,,2026-06-02,後半デザインが止まる,構成変更
