panel_id,title,message,mockup,designer,writer,panel_text_status,script_status,image_status,design_status,approval_status,note,blocker
P01,B-4：定置型純水素燃料電池H2Rex,"・H2Rexの説明
・商品の特徴
・強み、価値
・導入期待",H2Rexスタック（直置き）,designer_OH,writer_MM,確認待ち,未着手,確認待ち,未着手,未着手,,
P02,B-4：H2Rex　MW,"・MW FCの説明
・TKKの設置事例
・特徴
・導入期待（DC等）",,designer_OH,writer_MM,未着手,未着手,確認待ち,未着手,未着手,,
P03,B-4：次世代燃料電池開発,"・四流対構造について
・試作の画像
・狙うマーケット",,designer_OH,writer_KK,未着手,未着手,未着手,未着手,未着手,,
P04,B-3：ACLS製造プロセス,"・スパッタリングプロセス
・構造体模式
・低減量/耐久性
・課題（Irクライシス）","平面的なモック◯枚。
見やすいよう造作台に斜めに設置",designer_OH,writer_KK,未着手,未着手,保留,未着手,未着手,,
P05,B-3：次世代MEA開発,"・ターゲットレベル
・開発計画",,designer_OH,writer_SM,未着手,未着手,未着手,未着手,未着手,,
P06,C：セルスタック製造ライン概要,,"平面的なモック◯枚。
見やすいよう造作台に斜めに設置",designer_UM,writer_SM,未着手,未着手,確認待ち,未着手,未着手,すでに図がある。こちらを流用？,
P07,C：モニター設置箇所,"以下の①、②を簡単に切り替えられるようにする。
①ライン状況
②ラインのグランドデザイン、スマート工場についての説明、量産化のポイント説明（新規作成）",モックはなし。現在同様PCを配置する予定,designer_UM,writer_KT,未着手,未着手,未着手,未着手,未着手,簡単に切り替える案として、30秒ごとのオート切り替えや、片方をスクリーンセーバーにしてマウスの微動でそれを解除しもう片方を表示する方法などが出ている。,
P08,C：マルチプロダクトライン,"・同一ラインで多品種の製造を行う取り組み
・膜面積、枚数での多品種対応
・水電解MEA、P2Cの展開
・ラインは１つ、ビジネスは複線",歴史の陳列だったか？,designer_UM,writer_KT,未着手,未着手,未着手,未着手,未着手,,
P09,A-3：COのニーズ,"・e-SAFへの期待/将来のボリューム
・リサイクルCOの化学材料利用/将来のボリューム",,designer_UM,writer_MM,未着手,未着手,未着手,未着手,未着手,,
P10,A-3：電解メカニズム,"・CO2電解メカニズム
①三相界面の利点
②アルカリ利用/構造説明
③効率
④他技術との比較","モックスタック
C2One",designer_UM,writer_KT,未着手,未着手,未着手,未着手,未着手,,
P11,A-3：商用に向けて,・大型化イメージ,,,未設定,未着手,未着手,未着手,未着手,未着手,,
